weight,package_type,base_country_id,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10
0.5,Documents,235,26.06,28.67,30.10,31.60,30.10,33.65,27.62,40.50,45.37,50.82
1,Documents,235,26.69,29.36,30.84,32.41,30.91,34.57,28.39,41.71,46.75,52.41
1.5,Documents,235,27.43,30.17,31.74,33.40,31.90,35.67,29.86,43.97,49.34,55.39
2,Documents,235,28.17,30.98,32.64,34.38,32.88,36.78,31.33,46.23,51.92,58.37
0.5,Non-Documents,235,26.06,28.67,30.10,31.60,34.78,38.23,30.69,45.01,50.40,56.46
1,Non-Documents,235,26.69,29.36,30.84,32.41,35.59,39.14,31.46,46.21,51.78,58.05
1.5,Non-Documents,235,27.43,30.17,31.74,33.40,36.57,40.24,32.93,48.47,54.37,61.03
2,Non-Documents,235,28.17,30.98,32.64,34.38,37.55,41.35,34.40,50.73,56.96,64.01
2.5,Non-Documents,235,29.05,31.93,33.67,35.54,38.71,42.61,35.50,52.41,58.89,66.24
3,Non-Documents,235,29.96,32.93,34.79,36.76,39.93,43.95,37.21,56.30,65.50,73.83
3.5,Non-Documents,235,30.88,33.93,35.91,37.98,41.16,45.30,38.92,60.20,72.11,81.42
4,Non-Documents,235,31.79,34.93,37.04,39.21,42.38,46.64,40.62,64.10,78.71,89.01
4.5,Non-Documents,235,32.71,35.93,38.16,40.43,43.61,47.99,42.33,68.00,85.32,96.60
5,Non-Documents,235,33.62,36.93,39.28,41.66,44.83,49.34,44.04,71.90,91.93,104.19
5.5,Non-Documents,235,34.72,38.14,40.61,43.11,46.28,50.94,46.07,75.43,97.95,111.09
6,Non-Documents,235,35.97,39.57,42.21,44.83,48.13,53.11,48.68,79.61,103.16,117.08
6.5,Non-Documents,235,37.21,41.00,43.82,46.56,49.97,55.29,51.28,83.78,108.36,123.06
7,Non-Documents,235,38.45,42.44,45.42,48.28,51.82,57.46,53.89,87.96,113.57,129.05
7.5,Non-Documents,235,39.69,43.87,47.02,50.01,53.66,59.63,56.49,92.13,118.78,135.03
8,Non-Documents,235,40.93,45.30,48.63,51.73,55.51,61.81,59.10,96.31,123.99,141.02
8.5,Non-Documents,235,42.18,46.73,50.23,53.46,57.36,63.98,61.70,100.48,129.20,147.00
9,Non-Documents,235,43.42,48.16,51.84,55.18,59.20,66.15,64.31,104.66,134.41,152.99
9.5,Non-Documents,235,44.66,49.59,53.44,56.91,61.05,68.33,66.91,108.83,139.62,158.98
10,Non-Documents,235,45.90,51.03,55.04,58.63,62.89,70.50,69.52,113.00,144.83,164.96
10.5,Non-Documents,235,47.33,52.66,56.84,60.62,65.02,73.00,72.52,117.32,150.21,171.15
11,Non-Documents,235,48.77,54.30,58.63,62.60,67.14,75.50,75.52,121.63,155.60,177.35
11.5,Non-Documents,235,50.20,55.94,60.43,64.58,69.26,78.00,78.52,125.94,160.98,183.54
12,Non-Documents,235,51.63,57.58,62.22,66.57,71.38,80.51,81.52,130.25,166.36,189.73
12.5,Non-Documents,235,53.06,59.22,64.01,68.55,73.50,83.01,84.53,134.57,171.74,195.93
13,Non-Documents,235,54.49,60.86,65.81,70.54,75.62,85.51,87.53,138.88,177.12,202.12
13.5,Non-Documents,235,55.92,62.50,67.60,72.52,77.75,88.01,90.53,143.19,182.51,208.31
14,Non-Documents,235,57.36,64.14,69.40,74.50,79.87,90.51,93.53,147.50,187.89,214.50
14.5,Non-Documents,235,58.79,65.77,71.19,76.49,81.99,93.01,96.53,151.82,193.27,220.70
15,Non-Documents,235,60.22,67.41,72.98,78.47,84.11,95.51,99.53,156.13,198.65,226.89
15.5,Non-Documents,235,61.65,69.05,74.78,80.45,86.23,98.01,102.53,160.44,204.03,233.08
16,Non-Documents,235,63.08,70.69,76.57,82.44,88.35,100.52,105.54,164.75,209.42,239.27
16.5,Non-Documents,235,64.52,72.33,78.37,84.42,90.48,103.02,108.54,169.07,214.80,245.47
17,Non-Documents,235,65.95,73.97,80.16,86.41,92.60,105.52,111.54,173.38,220.18,251.66
17.5,Non-Documents,235,67.38,75.61,81.95,88.39,94.72,108.02,114.54,177.69,225.56,257.85
18,Non-Documents,235,68.81,77.25,83.75,90.37,96.84,110.52,117.54,182.00,230.94,264.05
18.5,Non-Documents,235,70.24,78.88,85.54,92.36,98.96,113.02,120.54,186.32,236.33,270.24
19,Non-Documents,235,71.67,80.52,87.34,94.34,101.09,115.52,123.54,190.63,241.71,276.43
19.5,Non-Documents,235,73.11,82.16,89.13,96.32,103.21,118.02,126.55,194.94,247.09,282.62
20,Non-Documents,235,74.54,83.80,90.92,98.31,105.33,120.53,129.55,199.25,252.47,288.82
20.5,Non-Documents,235,77.75,87.58,94.94,102.91,110.19,126.41,135.05,207.21,261.99,300.27
21,Non-Documents,235,80.95,91.36,98.96,107.52,115.06,132.29,140.55,215.16,271.52,311.72
21.5,Non-Documents,235,84.16,95.13,102.98,112.13,119.92,138.17,146.06,223.11,281.04,323.18
